month,trades,long_trades,short_trades,wins,losses,win_rate_pct,profit_factor,gross_profit,gross_loss,net_profit,average_trade,best_trade,worst_trade,average_holding_bars
2022-01,23,12,11,7,16,30.434782608695656,0.7958316466118847,102.24243111339857,128.47243703951457,-26.230005926116025,-1.140435040265914,22.90716479579433,-10.673625399475645,43.391304347826086
2022-02,17,11,6,3,14,17.647058823529413,0.3095607135520316,27.95945369936679,90.31977403898608,-62.36032033961931,-3.668254137624665,10.1294228104273,-9.909911154453042,35.76470588235294
2022-03,16,7,9,4,12,25.0,0.39754407333008973,41.52588523066205,104.45605409939586,-62.9301688687338,-3.9331355542958626,19.967017377235678,-13.912919293542618,34.5625
2022-04,23,17,6,8,15,34.78260869565217,0.735752876072764,65.84886585958854,89.49861835548744,-23.64975249589889,-1.028250108517343,18.384687732099245,-8.729142955313925,72.1304347826087
2022-05,20,11,9,8,12,40.0,1.2354679840474914,126.86308153055009,102.684232346464,24.178849184086083,1.208942459204304,19.24914312690131,-13.412708054221477,33.1
2022-06,35,22,13,11,24,31.428571428571427,0.7505373257012008,112.85836012648153,150.37008322143328,-37.51172309495175,-1.0717635169986213,18.942125726187506,-13.248354954723611,28.857142857142858
2022-07,32,17,15,12,20,37.5,0.8043753353028493,123.54509100750094,153.59134670754904,-30.046255700048057,-0.9389454906265018,18.24013345840619,-12.656918370685636,35.03125
2022-08,13,8,5,6,7,46.15384615384615,1.5226047232974969,75.02154950670325,49.27184866747916,25.7497008392241,1.9807462184018538,17.509420561702235,-12.090024515893052,87.76923076923077
2022-09,30,12,18,13,17,43.333333333333336,1.548589204699547,166.8190760725137,107.7232590581564,59.09581701435728,1.9698605671452427,27.2194253513872,-8.203699575103142,55.6
2022-10,12,6,6,4,8,33.33333333333333,0.7113778549399492,46.38095297053433,65.19875850570239,-18.81780553516805,-1.568150461264004,18.689945374749538,-13.089667608573114,134.58333333333334
2022-11,14,11,3,3,11,21.428571428571427,0.48928641781942783,43.1762483514198,88.24330040437395,-45.06705205295417,-3.2190751466395833,18.350240523837762,-12.485187005362548,73.5
2022-12,11,5,6,4,7,36.36363636363637,0.7816174696813176,34.89420964892365,44.643589738533834,-9.74938008961019,-0.8863072808736536,17.630494785424965,-8.192272589860645,247.0909090909091
2023-01,14,2,12,4,10,28.57142857142857,0.33075406798901535,23.23669797286894,70.25370274097627,-47.01700476810732,-3.358357483436237,8.414328975854286,-11.424040374583356,70.28571428571429
2023-02,11,6,5,4,7,36.36363636363637,1.7765266385377612,74.16349615741038,41.74634624024186,32.4171499171685,2.9470136288335,24.580360362459146,-11.594712009741889,58.81818181818182
2023-03,12,7,5,4,8,33.33333333333333,0.854768559813612,42.72997681078607,49.990112902729635,-7.2601360919435685,-0.6050113409952974,16.77517482859065,-11.503661450001587,84.08333333333333
2023-04,15,9,6,5,10,33.33333333333333,0.539738512932737,42.10454405095231,78.00915265833447,-35.904608607382166,-2.393640573825478,17.121477223453155,-12.079271096820365,100.4
2023-05,9,5,4,5,4,55.55555555555556,1.1719542098800235,35.701609324595395,30.46331420085967,5.238295123735727,0.5820327915261919,8.17479681935005,-11.42565486942398,98.55555555555556
2023-06,16,7,9,7,9,43.75,1.4698005622921229,96.11822284994334,65.39541847776205,30.722804372181287,1.9201752732613304,16.919435790687093,-11.70640708309487,103.9375
2023-07,8,6,2,3,5,37.5,0.7464566803989784,32.49290554972583,43.52952609702481,-11.036620547298964,-1.3795775684123706,17.196297529343113,-11.984719295224362,158.375
2023-08,11,6,5,5,6,45.45454545454545,1.5604397688597555,60.64555009107177,38.86439662800102,21.781153463070748,1.9801048602791589,17.02105465777246,-11.80436216082079,220.1818181818182
2023-09,14,5,9,2,12,14.285714285714285,0.33836741858026737,24.74653971371142,73.13511394667881,-48.38857423296739,-3.4563267309262424,16.284611383302337,-7.943549432324862,98.85714285714286
2023-10,14,4,10,4,10,28.57142857142857,0.7704229816099639,52.33817576167829,67.93433868276678,-15.596162921088483,-1.114011637220606,16.42050700323496,-11.441728345242149,140.57142857142858
2023-11,16,4,12,5,11,31.25,0.720177152944805,46.627768569752476,64.74485948226973,-18.117090912517252,-1.1323181820323283,15.340249404604435,-10.898897276916188,120.3125
2023-12,15,6,9,4,11,26.666666666666668,0.7503912795716308,51.89922724316102,69.16288695783922,-17.263659714678205,-1.1509106476452138,14.996819857196941,-10.199990806261424,78.4
2024-01,21,8,13,9,12,42.857142857142854,0.9849848066831128,83.16638955485467,84.43418516770156,-1.2677956128468635,-0.060371219659374455,15.178045951152232,-10.718633502509595,74.80952380952381
2024-02,15,2,13,7,8,46.666666666666664,1.0012114493178383,51.09452474708614,51.03270121601055,0.061823531075583915,0.004121568738372261,14.821476043084768,-6.930126000236554,126.2
2024-03,32,10,22,10,22,31.25,0.9420030870784317,101.75155986070824,108.01616391331035,-6.2646040526021025,-0.1957688766438157,14.832327612025667,-6.895488541201721,33.40625
2024-04,23,14,9,8,15,34.78260869565217,0.9044037714963821,90.86750189994117,100.47227219054633,-9.604770290605154,-0.41759870828718065,22.51707134760641,-10.41665444558216,46.26086956521739
2024-05,18,10,8,6,12,33.33333333333333,0.563632183282456,41.035218746890855,72.8049603340813,-31.769741587190452,-1.7649856437328029,8.4915426160283,-10.110462558672625,75.16666666666667
2024-06,13,5,8,5,8,38.46153846153847,1.3275115738043888,47.967895830059696,36.13369312675224,11.834202703307454,0.9103232848698042,14.282168180151382,-10.047048347507946,123.53846153846153
2024-07,28,11,17,9,19,32.142857142857146,0.7880450322568527,80.64039657532103,102.32968075996624,-21.689284184645214,-0.7746172923087576,20.489471193526512,-9.65281067255714,52.42857142857143
2024-08,23,15,8,7,16,30.434782608695656,0.7076056307153066,58.40196450990597,82.5346237718154,-24.13265926190944,-1.0492460548656277,19.413059882674183,-9.21900993787148,37.43478260869565
2024-09,13,8,5,5,8,38.46153846153847,1.219809289921593,45.12916561265843,36.99690270071582,8.132262911942611,0.625558685534047,13.405555279241794,-6.278283763459059,96.15384615384616
2024-10,19,10,9,2,17,10.526315789473683,0.22267682103099015,19.717485089319478,88.54754167060511,-68.83005658128563,-3.62263455690977,13.426368743183673,-8.769011275058553,60.68421052631579
2024-11,22,8,14,10,12,45.45454545454545,1.4489277848930695,74.04610070402657,51.10406569330242,22.94203501072414,1.0428197732147337,12.45681194968239,-5.833954549369294,61.18181818181818
2024-12,16,9,7,10,6,62.5,2.4806687035918324,66.0745958095434,26.635800142869567,39.438795666673826,2.464924729167114,13.034753558514286,-6.023907320194816,99.0
2025-01,21,8,13,9,12,42.857142857142854,0.9702046584413085,66.77303186771925,68.82365621186987,-2.0506243441506298,-0.09764877829288714,13.035203513578274,-9.13089237513508,53.714285714285715
2025-02,16,12,4,2,14,12.5,0.38722805811074235,32.027706048012696,82.71018945340262,-50.68248340538992,-3.16765521283687,18.963881905881067,-9.03934510904216,37.1875
2025-03,21,12,9,9,12,42.857142857142854,1.251765864767722,73.37869614637009,58.62014471850633,14.758551427863752,0.7027881632316072,12.466562982645254,-8.261675388500674,49.0
2025-04,13,3,10,5,8,38.46153846153847,0.6927843376688751,31.38063644372543,45.29639995805476,-13.915763514329337,-1.0704433472561028,12.21104409562555,-8.596076318326887,129.69230769230768
2025-05,14,4,10,8,6,57.14285714285714,2.2042673391068166,56.59521358268789,25.675294724287227,30.919918858400663,2.2085656327429044,12.408080633018955,-5.776799654822724,199.92857142857142
2025-06,8,4,4,2,6,25.0,0.5401731012831263,17.204195868774967,31.849412397448425,-14.645216528673462,-1.8306520660841827,12.306276430622262,-8.81064877000076,132.125
2025-07,9,6,3,6,3,66.66666666666666,3.6396838651287005,43.074077923101015,11.834565725827922,31.239512197273093,3.4710569108081213,12.733774767027445,-5.894059025387698,364.6666666666667
2025-08,20,13,7,8,12,40.0,1.3711931687577874,75.40017653503178,54.98873408430081,20.411442450730966,1.0205721225365483,13.410005871571062,-6.198084962327426,130.8
2025-09,13,4,9,3,10,23.076923076923077,0.6343539521399463,25.556041184946157,40.286721787946206,-14.730680603000046,-1.1331292771538497,13.503863317013701,-6.26152186580621,163.0
2025-10,18,10,8,5,13,27.77777777777778,0.38848701495250093,29.5941971530396,76.17808578919424,-46.583888636154654,-2.587993813119703,7.553908701640195,-9.19568430383531,92.55555555555556
2025-11,19,12,7,7,12,36.84210526315789,0.9935033605430922,52.3109206246034,52.65298810464815,-0.3420674800447543,-0.018003551581302856,12.088767684548715,-5.64876549216155,58.94736842105263
2025-12,17,6,11,7,10,41.17647058823529,0.9106431517431236,44.63075685055879,49.01014932702019,-4.3793924764613985,-0.25761132214478816,12.431380472263513,-8.643949316468117,122.29411764705883
2026-01,12,6,6,3,9,25.0,0.9226556156642486,35.49748391438828,38.473167357066956,-2.975683442678669,-0.24797362022322242,17.700435967364548,-5.608329366244691,102.33333333333333
2026-02,18,11,7,7,11,38.88888888888889,0.9008016617850784,49.71699221247011,55.191941047209184,-5.474948834739062,-0.30416382415217014,11.962111220677496,-8.252807666776736,61.05555555555556
2026-03,20,6,14,11,9,55.00000000000001,1.9459784933031086,65.92909588793071,33.8796631693614,32.049432718569314,1.6024716359284656,12.550323851984952,-5.669654634506409,94.2
2026-04,18,6,12,7,11,38.88888888888889,0.8849684112291147,51.94624532968201,58.69841755993857,-6.752172230256566,-0.3751206794586981,12.720731648526563,-9.000153926965682,83.0
