timestamp,side,next_open_raw,entry_after_slippage,stop_loss_pct,tp1_pct,tp2_pct,stop_price,tp1_price,tp2_price,stop_distance,tp1_distance,tp2_distance,is_valid
2022-01-18 20:45:00+00:00,LONG,41767.26,41775.613452,1.0,2.0,4.0,41357.85731748,42611.12572104,43446.63799008,417.75613452000107,835.5122690400021,1671.0245380800043,True
2022-01-24 17:00:00+00:00,LONG,34262.87,34269.722574,1.0,2.0,4.0,33927.02534826,34955.11702548,35640.511476960004,342.6972257399975,685.3944514800023,1370.7889029600046,True
2022-02-11 09:15:00+00:00,LONG,43427.9,43436.58558,1.0,2.0,4.0,43002.2197242,44305.3172916,45174.0490032,434.36585580000246,868.7317115999977,1737.4634232000026,True
2022-02-12 11:30:00+00:00,LONG,42316.99,42325.453398,1.0,2.0,4.0,41902.19886402,43171.96246596,44018.47153392,423.2545339799981,846.5090679600034,1693.0181359199996,True
2022-02-19 09:15:00+00:00,LONG,39952.0,39959.9904,1.0,2.0,4.0,39560.390496,40759.190208,41558.390016000005,399.5999040000024,799.1998079999976,1598.3996160000024,True
2022-02-21 23:45:00+00:00,LONG,36986.4,36993.79728,1.0,2.0,4.0,36623.8593072,37733.673225599996,38473.5491712,369.93797279999853,739.8759455999971,1479.7518912000014,True
2022-02-22 01:30:00+00:00,LONG,37327.0,37334.4654,1.0,2.0,4.0,36961.120746,38081.154708,38827.844016,373.34465400000045,746.6893080000009,1493.3786160000018,True
2022-02-22 03:30:00+00:00,LONG,36548.7,36556.009739999994,1.0,2.0,4.0,36190.4496426,37287.129934799996,38018.2501296,365.5600973999972,731.1201948000016,1462.2403896000033,True
2022-02-22 05:30:00+00:00,LONG,36876.7,36884.075339999996,1.0,2.0,4.0,36515.234586599996,37621.756846799995,38359.438353599995,368.8407533999998,737.6815067999996,1475.3630135999992,True
2022-02-22 06:30:00+00:00,LONG,36782.1,36789.456419999995,1.0,2.0,4.0,36421.56185579999,37525.245548399995,38261.034676799994,367.8945642000035,735.7891283999998,1471.5782567999995,True
2022-02-22 07:30:00+00:00,LONG,36781.5,36788.8563,1.0,2.0,4.0,36420.967737,37524.633426,38260.410552,367.88856300000043,735.7771260000009,1471.5542520000017,True
2022-03-07 11:00:00+00:00,LONG,38125.9,38133.525180000004,1.0,2.0,4.0,37752.1899282,38896.1956836,39658.86618720001,381.3352518000029,762.6705035999985,1525.3410072000042,True
2022-03-18 11:45:00+00:00,LONG,40380.7,40388.776139999994,1.0,2.0,4.0,39984.88837859999,41196.5516628,42004.3271856,403.8877614000012,807.7755228000024,1615.5510456000047,True
2022-03-20 23:45:00+00:00,LONG,41261.0,41269.2522,1.0,2.0,4.0,40856.559678000005,42094.637244000005,42920.02228800001,412.69252199999755,825.3850440000024,1650.7700880000048,True
2022-03-21 00:30:00+00:00,LONG,41296.8,41305.05936,1.0,2.0,4.0,40892.0087664,42131.1605472,42957.2617344,413.0505935999972,826.1011872000017,1652.2023744000035,True
2022-03-30 11:30:00+00:00,LONG,47322.7,47332.16454,1.0,2.0,4.0,46858.8428946,48278.8078308,49225.4511216,473.3216453999994,946.6432907999988,1893.2865816000049,True
2022-03-30 20:00:00+00:00,LONG,47075.3,47084.71506,1.0,2.0,4.0,46613.8679094,48026.4093612,48968.103662400004,470.8471505999987,941.6943011999974,1883.3886024000021,True
2022-03-30 22:30:00+00:00,LONG,46967.7,46977.093539999994,1.0,2.0,4.0,46507.32260459999,47916.635410799994,48856.177281599994,469.7709354000035,939.5418707999997,1879.0837415999995,True
2022-03-31 00:15:00+00:00,LONG,47164.3,47173.732860000004,1.0,2.0,4.0,46701.9955314,48117.207517200004,49060.682174400004,471.7373286000002,943.4746572000004,1886.9493144000007,True
2022-03-31 03:15:00+00:00,LONG,47235.0,47244.447,1.0,2.0,4.0,46772.00253,48189.335940000004,49134.22488,472.4444700000022,944.8889400000044,1889.7778800000015,True
2022-03-31 07:45:00+00:00,LONG,47140.0,47149.428,1.0,2.0,4.0,46677.93372,48092.41656,49035.40512,471.494279999999,942.988559999998,1885.9771200000032,True
2022-03-31 08:45:00+00:00,LONG,47223.9,47233.34478,1.0,2.0,4.0,46761.011332199996,48178.0116756,49122.6785712,472.33344780000334,944.6668955999994,1889.3337911999988,True
2022-03-31 11:45:00+00:00,LONG,47146.5,47155.929299999996,1.0,2.0,4.0,46684.370007,48099.047886,49042.166472,471.55929299999843,943.1185860000041,1886.237172000001,True
