run_id,parameter,value,objective,final_score,total_score,yearly_consistency,profitable_years,evaluated_years,worst_year_profit_factor,worst_year_return_pct,trades,wins,losses,win_rate_pct,profit_factor,net_profit,return_pct,max_drawdown_pct,average_trade,average_trades_per_month,minimum_trades_per_month,indicator_cache_hit,signal_cache_hit,adx_min,adx_max,l1_rsi_long_max,l1_rsi_short_min,min_rsi_difference,pivot_left_bars,l1_right_bars,l2_right_bars,stop_loss_pct,tp1_pct,tp2_pct
25,exit.tp2_pct,3.0,1.4900816820266918,1.4900816820266918,1.4900816820266918,1.0,5,5,1.0045376864285864,0.25340228164141937,763,268,495,35.12450851900393,1.127391211359362,512.9280412076997,51.29280412076997,13.387435591548602,0.6722516922774571,14.12962962962963,2,True,True,20.0,30.0,30.0,75.0,10.0,3,3,1,0.8,2.0,3.0
17,risk.stop_loss_pct,0.8,1.4039863432346753,1.4039863432346753,1.4039863432346753,1.0,5,5,1.0289896815990098,1.7152681189744612,724,253,471,34.944751381215475,1.1312834431809005,488.72383487825476,48.87238348782547,14.291698155287511,0.6750329211025619,13.407407407407407,3,True,False,20.0,30.0,30.0,75.0,10.0,3,3,1,0.8,2.0,4.0
23,exit.tp1_pct,2.0,1.4039863432346753,1.4039863432346753,1.4039863432346753,1.0,5,5,1.0289896815990098,1.7152681189744612,724,253,471,34.944751381215475,1.1312834431809005,488.72383487825476,48.87238348782547,14.291698155287511,0.6750329211025619,13.407407407407407,3,True,True,20.0,30.0,30.0,75.0,10.0,3,3,1,0.8,2.0,4.0
26,exit.tp2_pct,4.0,1.4039863432346753,1.4039863432346753,1.4039863432346753,1.0,5,5,1.0289896815990098,1.7152681189744612,724,253,471,34.944751381215475,1.1312834431809005,488.72383487825476,48.87238348782547,14.291698155287511,0.6750329211025619,13.407407407407407,3,True,True,20.0,30.0,30.0,75.0,10.0,3,3,1,0.8,2.0,4.0
9,entry.l1_rsi_long_max,30.0,1.2664354649813376,1.2664354649813376,1.2664354649813376,1.0,5,5,1.0605886887795732,5.419063795949069,640,258,382,40.3125,1.1631262483429583,601.6855465976982,60.168554659769825,14.935914443834672,0.9401336665589035,11.851851851851851,2,True,False,20.0,30.0,30.0,75.0,10.0,3,3,1,1.0,2.0,4.0
16,entry.l1_rsi_short_min,75.0,1.2664354649813376,1.2664354649813376,1.2664354649813376,1.0,5,5,1.0605886887795732,5.419063795949069,640,258,382,40.3125,1.1631262483429583,601.6855465976982,60.168554659769825,14.935914443834672,0.9401336665589035,11.851851851851851,2,True,False,20.0,30.0,30.0,75.0,10.0,3,3,1,1.0,2.0,4.0
18,risk.stop_loss_pct,1.0,1.2664354649813376,1.2664354649813376,1.2664354649813376,1.0,5,5,1.0605886887795732,5.419063795949069,640,258,382,40.3125,1.1631262483429583,601.6855465976982,60.168554659769825,14.935914443834672,0.9401336665589035,11.851851851851851,2,True,False,20.0,30.0,30.0,75.0,10.0,3,3,1,1.0,2.0,4.0
3,entry.adx_range,20-30,1.2379296442464862,1.2379296442464862,1.2379296442464862,1.0,5,5,1.0206614440551658,1.6154568460712566,675,266,409,39.407407407407405,1.1082973339035656,403.134798299959,40.3134798299959,17.261830953402633,0.5972367382221615,12.5,4,False,False,20.0,30.0,28.0,75.0,10.0,3,3,1,1.0,2.0,4.0
8,entry.l1_rsi_long_max,28.0,1.2379296442464862,1.2379296442464862,1.2379296442464862,1.0,5,5,1.0206614440551658,1.6154568460712566,675,266,409,39.407407407407405,1.1082973339035656,403.134798299959,40.3134798299959,17.261830953402633,0.5972367382221615,12.5,4,True,False,20.0,30.0,28.0,75.0,10.0,3,3,1,1.0,2.0,4.0
10,entry.l1_rsi_long_max,32.0,1.1283600518892545,1.1283600518892545,1.1283600518892545,1.0,5,5,1.0374747093919476,1.884251729988104,591,236,355,39.93231810490694,1.1345424790224583,462.8192561524064,46.281925615240645,15.858652197654429,0.783112108548911,10.944444444444445,3,True,False,20.0,30.0,32.0,75.0,10.0,3,3,1,1.0,2.0,4.0
