run_id,year,trades,wins,losses,win_rate_pct,profit_factor,net_profit,return_pct,max_drawdown_pct,score
1,2022,8,4,4,50.0,1.37610814746841,9.688914311990256,0.9688914311990257,2.0224503135052645,0.1078621635140611
1,2023,7,4,3,57.14285714285714,1.8240013046511907,16.991249727077687,1.6991249727077686,1.5359722351179357,0.12571896057304918
1,2024,8,2,6,25.0,0.5854668635580564,-23.53782454674481,-2.353782454674481,2.5964970834630474,0.04562121868169031
1,2025,6,3,3,50.0,2.458770128502749,22.44463053163779,2.2444630531637793,1.0175691823759947,0.14602502648457827
1,2026,2,0,2,0.0,0.0,-20.773860277261964,-2.0773860277261966,0.5220690313880927,0.0
2,2022,104,39,65,37.5,1.114396704208066,53.93845844109946,5.393845844109946,12.972469197651263,1.0086252124156352
2,2023,44,16,28,36.36363636363637,0.5976516854714781,-107.0884362725904,-10.708843627259041,12.642485303308765,0.22972120994713854
2,2024,104,33,71,31.73076923076923,0.8571720436208673,-68.84894128777148,-6.884894128777148,13.48273295566649,0.7712658990491902
2,2025,85,38,47,44.70588235294118,1.336967707830803,123.97919719505951,12.397919719505952,7.667884941492013,1.0492829779460189
2,2026,52,18,34,34.61538461538461,0.8458138798389466,-39.43697626397845,-3.943697626397845,8.06958852453908,0.4043312936273022
3,2022,169,66,103,39.053254437869825,1.0630504303653172,55.8050978023376,5.5805097802337595,13.093781083659431,1.5613182188054073
3,2023,91,35,56,38.46153846153847,1.1625663592213025,79.5796673622468,7.957966736224679,10.835327982104303,0.9433046178829595
3,2024,166,65,101,39.1566265060241,1.1405937757699467,138.19550541459438,13.819550541459439,10.481153431215992,1.694937010893634
3,2025,137,62,75,45.25547445255474,1.471966049582779,369.1650691008359,36.91650691008359,11.199510620576998,1.7907448860740012
3,2026,74,29,45,39.189189189189186,0.9165777703266235,-52.80519831695986,-5.280519831695986,16.273660301628457,0.5678885930117371
4,2022,121,44,77,36.36363636363637,0.8667696562466792,-81.83700030195678,-8.183700030195677,19.570358299930334,0.8435390719497968
4,2023,82,27,55,32.926829268292686,0.7920555567358698,-81.95767473880449,-8.195767473880448,12.94848222920292,0.5653870346557394
4,2024,128,48,80,37.5,0.8951272418265785,-56.28175958405821,-5.62817595840582,14.793933494937118,0.9762594726088828
4,2025,105,42,63,40.0,1.0926424826952224,34.40159705299611,3.4401597052996107,5.900561586596723,1.079578962086595
4,2026,52,24,28,46.15384615384615,1.4964908633893084,96.66896443579523,9.666896443579523,3.804783598683635,0.7485673647209019
5,2022,74,24,50,32.432432432432435,0.6417359597048583,-131.06236501961774,-13.106236501961774,16.138924683889698,0.3982433406090043
5,2023,66,19,47,28.78787878787879,0.6696909088668976,-103.98824572977334,-10.398824572977334,12.427726538222334,0.3870659456806454
5,2024,63,16,47,25.396825396825395,0.5600394913740964,-107.89743486635965,-10.789743486635965,12.77190734265982,0.3077624128657009
5,2025,53,16,37,30.18867924528302,0.695545621012696,-54.290899343595825,-5.429089934359582,6.113100126938269,0.3461038970089773
5,2026,27,11,16,40.74074074074074,0.7520801881503112,-18.108325622661674,-1.8108325622661674,2.372523259976626,0.19824396590324767
6,2022,23,7,16,30.434782608695656,0.9160695538103546,-9.742929666619155,-0.9742929666619154,3.0901706636716093,0.20418513147592632
6,2023,28,6,22,21.428571428571427,0.5193927342083335,-71.48104822386492,-7.148104822386491,8.4120712253655,0.13319629329085947
6,2024,20,7,13,35.0,0.7025371777445923,-30.13666341589517,-3.013666341589517,6.717367606801579,0.13106903458820782
6,2025,16,5,11,31.25,0.8328381156355437,-10.597335484692096,-1.0597335484692094,4.932244265369349,0.12668168086996792
6,2026,10,4,6,40.0,0.7339140868402513,-11.87160279795878,-1.187160279795878,1.780007283538126,0.07208503626395826
7,2022,211,76,135,36.018957345971565,0.8855134588201536,-123.83730748907297,-12.383730748907297,20.94212891095333,1.4771436672629124
7,2023,98,38,60,38.775510204081634,1.147566738667054,68.43894455437652,6.843894455437652,11.86996397373755,0.9911239606084262
7,2024,183,65,118,35.51912568306011,0.9928988158149009,-6.776388499450007,-0.6776388499450008,10.853247273990696,1.6198008054417912
7,2025,154,60,94,38.961038961038966,1.0636493505040459,40.737472187631376,4.073747218763137,12.961214671778077,1.4257127112385746
7,2026,92,34,58,36.95652173913043,0.9554034851481513,-20.688824003987918,-2.068882400398792,8.927408484006042,0.8005018562898623
8,2022,178,68,110,38.20224719101123,1.004843467855767,4.563564400036498,0.4563564400036498,15.949434891637374,1.5033463714732878
8,2023,97,34,63,35.051546391752574,1.0295858657682961,15.060242487598998,1.5060242487598998,11.431360713546118,0.8845334858487364
8,2024,166,65,101,39.1566265060241,1.106859917746979,96.52460177049464,9.652460177049464,10.789765657049957,1.6391376619406381
8,2025,149,65,84,43.624161073825505,1.2972436487948686,226.0926135556639,22.60926135556639,10.02457766344552,1.7391286730885958
8,2026,77,32,45,41.55844155844156,1.126336837642549,67.41447403609675,6.741447403609675,12.122150062982948,0.7621464588960243
9,2022,169,66,103,39.053254437869825,1.0630504303653172,55.8050978023376,5.5805097802337595,13.093781083659431,1.5613182188054073
9,2023,91,35,56,38.46153846153847,1.1625663592213025,79.5796673622468,7.957966736224679,10.835327982104303,0.9433046178829595
9,2024,166,65,101,39.1566265060241,1.1405937757699467,138.19550541459438,13.819550541459439,10.481153431215992,1.694937010893634
9,2025,137,62,75,45.25547445255474,1.471966049582779,369.1650691008359,36.91650691008359,11.199510620576998,1.7907448860740012
9,2026,74,29,45,39.189189189189186,0.9165777703266235,-52.80519831695986,-5.280519831695986,16.273660301628457,0.5678885930117371
10,2022,153,60,93,39.21568627450981,1.0999632608955268,80.09244509281372,8.009244509281372,15.858652197654443,1.416051586963634
10,2023,91,34,57,37.362637362637365,1.0626093283469036,32.81497950911809,3.2814979509118087,14.271455296349645,0.828973156900101
10,2024,151,59,92,39.0728476821192,1.1494279134685397,132.88234210705218,13.28823421070522,9.544609080587547,1.5699764638218685
10,2025,126,55,71,43.65079365079365,1.293627117244171,201.96844250738752,20.196844250738753,9.78830922416128,1.470423647448892
10,2026,68,28,40,41.17647058823529,1.0476227126206417,24.631311548711928,2.4631311548711925,12.777445726736813,0.6213590365843085
11,2022,130,48,82,36.92307692307693,0.99530992192755,-3.2965228884859243,-0.32965228884859243,21.566064297627467,1.0148589674651856
11,2023,92,34,58,36.95652173913043,0.9810545109121089,-9.263324410430371,-0.9263324410430371,15.861196030993732,0.759411729224198
