timestamp,signal,signal_reason,open,high,low,close,volume,adx,rsi,atr,bb_lower,bb_middle,bb_upper,swing_low,swing_high,volume_score,long_candle_score,short_candle_score,score,size_multiplier,stop_price
2022-01-02 04:45:00+00:00,LONG,ADX range + RSI oversold + BB lower touch,47158.31,47170.54,46749.99,46902.11,8012.332,15.824213926573025,30.90574850772049,176.09848598910506,47073.967699195855,47382.2695,47690.57130080415,47263.28,47470.0,1,0,0,1,1.0,47228.06030280218
2022-01-02 05:00:00+00:00,LONG,ADX range + RSI oversold + BB lower touch,46903.89,46998.87,46821.92,46868.67,2391.295,18.297462942773624,30.038597979629216,176.159308418455,46975.18266820655,47350.6285,47726.07433179345,47263.28,47470.0,1,0,0,1,1.0,47228.048138316306
2022-01-02 05:15:00+00:00,LONG,ADX range + RSI oversold + BB lower touch,46868.66,46954.92,46835.63,46937.13,1484.524,20.594051314959895,34.11429359977747,172.097214959994,46915.15326336751,47320.426999999996,47725.70073663248,46749.99,47470.0,0,1,0,1,1.0,46715.570557008
2022-01-02 16:45:00+00:00,SHORT,ADX range + RSI overbought + BB upper touch,47532.27,47888.0,47529.79,47780.0,5683.228,17.585951280608008,70.88801238185735,172.33447330772285,46917.3242178323,47255.318,47593.3117821677,47006.66,47339.19,1,0,0,1,1.0,47373.656894661544
2022-01-03 12:00:00+00:00,SHORT,ADX range + RSI overbought + BB upper touch,47364.11,47571.82,47240.4,47477.23,5149.509,21.92999391465894,67.17521769397564,161.91884825783652,46752.8902691452,47095.902,47438.9137308548,46777.0,47249.78,1,0,0,1,1.0,47282.16376965157
2022-01-03 15:45:00+00:00,LONG,ADX range + RSI oversold + BB lower touch,46893.98,46951.05,46560.0,46689.99,7870.792,21.091861955096437,34.70257675605896,196.13471445960107,46761.16251107869,47158.15,47555.13748892131,46777.0,47290.0,1,0,0,1,1.0,46737.77305710808
2022-01-03 16:00:00+00:00,LONG,ADX range + RSI oversold + BB lower touch,46689.99,46790.77,46550.0,46625.47,5431.358,21.98627193313944,32.971603737350776,199.32294914105793,46671.35511570355,47123.545,47575.73488429645,46777.0,47290.0,1,0,0,1,1.0,46737.13541017179
2022-01-04 11:00:00+00:00,SHORT,ADX range + RSI overbought + BB upper touch,46599.85,46739.59,46599.84,46676.0,3456.246,17.476176921284384,65.28048822940855,164.82911216516615,46244.319927321856,46458.929,46673.53807267814,46270.54,46690.0,1,0,0,1,1.0,46722.965822433034
2022-01-04 11:30:00+00:00,SHORT,ADX range + RSI overbought + BB upper touch,46648.3,46736.49,46603.47,46707.73,1892.587,19.794655756968552,65.73237188592448,159.9962242648625,46278.24966561845,46497.7125,46717.17533438155,46270.54,46750.0,0,1,0,0,0.5,46781.999244852974
2022-01-04 18:30:00+00:00,LONG,ADX range + RSI oversold + BB lower touch,46472.67,46481.83,45859.29,45976.43,14302.574,21.73750507508157,29.957882079269282,241.45320147749288,46235.70687906016,46847.581,47459.455120939834,46635.0,46986.54,1,0,0,1,1.0,46586.7093597045
2022-01-05 09:15:00+00:00,SHORT,ADX range + RSI overbought + BB upper touch,46625.97,46850.0,46612.26,46784.01,4903.003,16.201333043399362,68.24540468970653,141.39131251379033,46157.42263616785,46415.5975,46673.772363832155,46261.75,46489.97,1,0,0,1,1.0,46518.24826250276
2022-01-05 09:30:00+00:00,SHORT,ADX range + RSI overbought + BB upper touch,46784.02,46925.35,46739.0,46886.99,2918.55,18.70258836465063,71.23498588876265,144.60264733423375,46113.10781991725,46441.609000000004,46770.11018008276,46261.75,46489.97,1,0,0,1,1.0,46518.89052946685
2022-01-05 09:45:00+00:00,SHORT,ADX range + RSI overbought + BB upper touch,46887.0,46943.47,46764.1,46850.75,3122.867,21.10318104421318,68.78088989389863,147.08602966750297,46089.79861182872,46463.196500000005,46836.59438817129,46261.75,46489.97,1,0,0,1,1.0,46519.387205933504
2022-01-05 18:00:00+00:00,LONG,ADX range + RSI oversold + BB lower touch,46007.98,46009.79,45550.0,45789.82,18230.909,19.258282586787164,33.73014959073572,264.898057198953,45954.14449166875,46394.384000000005,46834.623508331264,46342.88,46670.0,1,0,0,1,1.0,46289.90038856021
2022-01-07 00:30:00+00:00,LONG,ADX range + RSI oversold + BB lower touch,42895.7,42929.73,42712.41,42762.2,3503.632,15.596674676954322,33.979739221769705,169.07797852798728,42831.51020668846,43128.689,43425.86779331154,43045.73,43222.3,1,0,0,1,1.0,43011.9144042944
